Source,Target,Type,Id,Label,timeset,Weight,END1,TIE-MODE,END2,LABEL-COLOR,THICKNESS,SHAPE,BREED,COLOR,HIDDEN?
urban 1540,urban 4889,Undirected,11461,,,1,(urban 1540),none,(urban 4889),9.9,0,default,urbanangrycollectives,0,true
urban 502,urban 5334,Undirected,11462,,,1,(urban 502),none,(urban 5334),9.9,0,default,urbanangrycollectives,0,true
urban 2044,urban 3833,Undirected,11463,,,1,(urban 2044),none,(urban 3833),9.9,0,default,urbanangrycollectives,0,true
urban 1303,urban 4564,Undirected,11464,,,1,(urban 1303),none,(urban 4564),9.9,0,default,urbanangrycollectives,0,true
urban 4604,urban 5044,Undirected,11465,,,1,(urban 4604),none,(urban 5044),9.9,0,default,urbanangrycollectives,0,true
urban 1312,urban 4603,Undirected,11466,,,1,(urban 1312),none,(urban 4603),9.9,0,default,urbanangrycollectives,0,true
urban 940,urban 1063,Undirected,11467,,,1,(urban 940),none,(urban 1063),9.9,0,default,urbanangrycollectives,0,true
urban 4372,urban 5847,Undirected,11468,,,1,(urban 4372),none,(urban 5847),9.9,0,default,urbanangrycollectives,0,true
urban 3919,urban 6086,Undirected,11469,,,1,(urban 3919),none,(urban 6086),9.9,0,default,urbanangrycollectives,0,true
urban 3403,urban 4336,Undirected,11470,,,1,(urban 3403),none,(urban 4336),9.9,0,default,urbanangrycollectives,0,true
urban 1624,urban 4206,Undirected,11471,,,1,(urban 1624),none,(urban 4206),9.9,0,default,urbanangrycollectives,0,true
urban 3000,urban 5193,Undirected,11472,,,1,(urban 3000),none,(urban 5193),9.9,0,default,urbanangrycollectives,0,true
urban 1285,urban 5992,Undirected,11473,,,1,(urban 1285),none,(urban 5992),9.9,0,default,urbanangrycollectives,0,true
urban 2946,urban 6140,Undirected,11474,,,1,(urban 2946),none,(urban 6140),9.9,0,default,urbanangrycollectives,0,true
urban 1692,urban 3547,Undirected,11475,,,1,(urban 1692),none,(urban 3547),9.9,0,default,urbanangrycollectives,0,true
urban 1162,urban 5450,Undirected,11476,,,1,(urban 1162),none,(urban 5450),9.9,0,default,urbanangrycollectives,0,true
urban 1936,urban 5578,Undirected,11477,,,1,(urban 1936),none,(urban 5578),9.9,0,default,urbanangrycollectives,0,true
urban 1824,urban 3740,Undirected,11478,,,1,(urban 1824),none,(urban 3740),9.9,0,default,urbanangrycollectives,0,true
urban 3714,urban 4113,Undirected,11479,,,1,(urban 3714),none,(urban 4113),9.9,0,default,urbanangrycollectives,0,true
urban 871,urban 1301,Undirected,11480,,,1,(urban 871),none,(urban 1301),9.9,0,default,urbanangrycollectives,0,true
urban 597,urban 5992,Undirected,11481,,,1,(urban 597),none,(urban 5992),9.9,0,default,urbanangrycollectives,0,true
urban 2836,urban 2946,Undirected,11482,,,1,(urban 2836),none,(urban 2946),9.9,0,default,urbanangrycollectives,0,true
urban 1638,urban 5000,Undirected,11483,,,1,(urban 1638),none,(urban 5000),9.9,0,default,urbanangrycollectives,0,true
urban 319,urban 3038,Undirected,11484,,,1,(urban 319),none,(urban 3038),9.9,0,default,urbanangrycollectives,0,true
urban 5407,urban 6080,Undirected,11485,,,1,(urban 5407),none,(urban 6080),9.9,0,default,urbanangrycollectives,0,true
urban 3348,urban 4488,Undirected,11486,,,1,(urban 3348),none,(urban 4488),9.9,0,default,urbanangrycollectives,0,true
urban 1945,urban 5760,Undirected,11487,,,1,(urban 1945),none,(urban 5760),9.9,0,default,urbanangrycollectives,0,true
