Source,Target,Type,Id,Label,timeset,Weight,END1,TIE-MODE,END2,LABEL-COLOR,THICKNESS,SHAPE,BREED,COLOR,HIDDEN?
urban 5687,urban 6129,Undirected,4943,,,1,(urban 5687),none,(urban 6129),9.9,0,default,urbanangrycollectives,0,true
urban 822,urban 2815,Undirected,4944,,,1,(urban 822),none,(urban 2815),9.9,0,default,urbanangrycollectives,0,true
urban 5044,urban 5771,Undirected,4945,,,1,(urban 5044),none,(urban 5771),9.9,0,default,urbanangrycollectives,0,true
urban 544,urban 879,Undirected,4946,,,1,(urban 544),none,(urban 879),9.9,0,default,urbanangrycollectives,0,true
urban 2271,urban 4812,Undirected,4947,,,1,(urban 2271),none,(urban 4812),9.9,0,default,urbanangrycollectives,0,true
urban 2406,urban 3931,Undirected,4948,,,1,(urban 2406),none,(urban 3931),9.9,0,default,urbanangrycollectives,0,true
urban 2694,urban 5385,Undirected,4949,,,1,(urban 2694),none,(urban 5385),9.9,0,default,urbanangrycollectives,0,true
urban 3047,urban 5963,Undirected,4950,,,1,(urban 3047),none,(urban 5963),9.9,0,default,urbanangrycollectives,0,true
urban 1192,urban 5147,Undirected,4951,,,1,(urban 1192),none,(urban 5147),9.9,0,default,urbanangrycollectives,0,true
urban 2114,urban 4086,Undirected,4952,,,1,(urban 2114),none,(urban 4086),9.9,0,default,urbanangrycollectives,0,true
urban 2284,urban 5064,Undirected,4953,,,1,(urban 2284),none,(urban 5064),9.9,0,default,urbanangrycollectives,0,true
urban 1404,urban 5643,Undirected,4954,,,1,(urban 1404),none,(urban 5643),9.9,0,default,urbanangrycollectives,0,true
urban 4504,urban 5355,Undirected,4955,,,1,(urban 4504),none,(urban 5355),9.9,0,default,urbanangrycollectives,0,true
urban 1954,urban 4372,Undirected,4956,,,1,(urban 1954),none,(urban 4372),9.9,0,default,urbanangrycollectives,0,true
urban 980,urban 2592,Undirected,4957,,,1,(urban 980),none,(urban 2592),9.9,0,default,urbanangrycollectives,0,true
urban 1971,urban 3067,Undirected,4958,,,1,(urban 1971),none,(urban 3067),9.9,0,default,urbanangrycollectives,0,true
urban 417,urban 1375,Undirected,4959,,,1,(urban 417),none,(urban 1375),9.9,0,default,urbanangrycollectives,0,true
urban 504,urban 1285,Undirected,4960,,,1,(urban 504),none,(urban 1285),9.9,0,default,urbanangrycollectives,0,true
urban 3047,urban 5186,Undirected,4961,,,1,(urban 3047),none,(urban 5186),9.9,0,default,urbanangrycollectives,0,true
urban 156,urban 2086,Undirected,4962,,,1,(urban 156),none,(urban 2086),9.9,0,default,urbanangrycollectives,0,true
urban 1324,urban 2009,Undirected,4963,,,1,(urban 1324),none,(urban 2009),9.9,0,default,urbanangrycollectives,0,true
urban 6176,urban 6307,Undirected,4964,,,1,(urban 6176),none,(urban 6307),9.9,0,default,urbanangrycollectives,0,true
urban 1010,urban 3304,Undirected,4965,,,1,(urban 1010),none,(urban 3304),9.9,0,default,urbanangrycollectives,0,true
urban 879,urban 3606,Undirected,4966,,,1,(urban 879),none,(urban 3606),9.9,0,default,urbanangrycollectives,0,true
urban 1949,urban 3167,Undirected,4967,,,1,(urban 1949),none,(urban 3167),9.9,0,default,urbanangrycollectives,0,true
urban 984,urban 2282,Undirected,4968,,,1,(urban 984),none,(urban 2282),9.9,0,default,urbanangrycollectives,0,true
urban 932,urban 2361,Undirected,4969,,,1,(urban 932),none,(urban 2361),9.9,0,default,urbanangrycollectives,0,true
urban 4155,urban 5345,Undirected,4970,,,1,(urban 4155),none,(urban 5345),9.9,0,default,urbanangrycollectives,0,true
urban 3280,urban 4059,Undirected,4971,,,1,(urban 3280),none,(urban 4059),9.9,0,default,urbanangrycollectives,0,true
urban 1454,urban 3389,Undirected,4972,,,1,(urban 1454),none,(urban 3389),9.9,0,default,urbanangrycollectives,0,true
urban 5149,urban 5169,Undirected,4973,,,1,(urban 5149),none,(urban 5169),9.9,0,default,urbanangrycollectives,0,true
urban 1761,urban 3207,Undirected,4974,,,1,(urban 1761),none,(urban 3207),9.9,0,default,urbanangrycollectives,0,true
urban 1450,urban 3775,Undirected,4975,,,1,(urban 1450),none,(urban 3775),9.9,0,default,urbanangrycollectives,0,true
urban 504,urban 2801,Undirected,4976,,,1,(urban 504),none,(urban 2801),9.9,0,default,urbanangrycollectives,0,true
urban 3551,urban 4401,Undirected,4977,,,1,(urban 3551),none,(urban 4401),9.9,0,default,urbanangrycollectives,0,true
urban 2811,urban 3336,Undirected,4978,,,1,(urban 2811),none,(urban 3336),9.9,0,default,urbanangrycollectives,0,true
urban 3711,urban 4049,Undirected,4979,,,1,(urban 3711),none,(urban 4049),9.9,0,default,urbanangrycollectives,0,true
urban 725,urban 3272,Undirected,4980,,,1,(urban 725),none,(urban 3272),9.9,0,default,urbanangrycollectives,0,true
urban 3026,urban 5073,Undirected,4981,,,1,(urban 3026),none,(urban 5073),9.9,0,default,urbanangrycollectives,0,true
urban 1150,urban 6279,Undirected,4982,,,1,(urban 1150),none,(urban 6279),9.9,0,default,urbanangrycollectives,0,true
urban 3452,urban 5643,Undirected,4983,,,1,(urban 3452),none,(urban 5643),9.9,0,default,urbanangrycollectives,0,true
urban 1095,urban 4573,Undirected,4984,,,1,(urban 1095),none,(urban 4573),9.9,0,default,urbanangrycollectives,0,true
urban 1868,urban 2950,Undirected,4985,,,1,(urban 1868),none,(urban 2950),9.9,0,default,urbanangrycollectives,0,true
urban 910,urban 937,Undirected,4986,,,1,(urban 910),none,(urban 937),9.9,0,default,urbanangrycollectives,0,true
urban 1222,urban 2366,Undirected,4987,,,1,(urban 1222),none,(urban 2366),9.9,0,default,urbanangrycollectives,0,true
urban 2556,urban 4059,Undirected,4988,,,1,(urban 2556),none,(urban 4059),9.9,0,default,urbanangrycollectives,0,true
urban 187,urban 1078,Undirected,4989,,,1,(urban 187),none,(urban 1078),9.9,0,default,urbanangrycollectives,0,true
urban 693,urban 5521,Undirected,4990,,,1,(urban 693),none,(urban 5521),9.9,0,default,urbanangrycollectives,0,true
urban 3685,urban 4781,Undirected,4991,,,1,(urban 3685),none,(urban 4781),9.9,0,default,urbanangrycollectives,0,true
urban 3767,urban 4830,Undirected,4992,,,1,(urban 3767),none,(urban 4830),9.9,0,default,urbanangrycollectives,0,true
urban 1616,urban 3389,Undirected,4993,,,1,(urban 1616),none,(urban 3389),9.9,0,default,urbanangrycollectives,0,true
urban 1517,urban 5292,Undirected,4994,,,1,(urban 1517),none,(urban 5292),9.9,0,default,urbanangrycollectives,0,true
urban 1404,urban 5686,Undirected,4995,,,1,(urban 1404),none,(urban 5686),9.9,0,default,urbanangrycollectives,0,true
urban 2203,urban 5714,Undirected,4996,,,1,(urban 2203),none,(urban 5714),9.9,0,default,urbanangrycollectives,0,true
urban 2026,urban 5583,Undirected,4997,,,1,(urban 2026),none,(urban 5583),9.9,0,default,urbanangrycollectives,0,true
urban 1623,urban 5659,Undirected,4998,,,1,(urban 1623),none,(urban 5659),9.9,0,default,urbanangrycollectives,0,true
urban 3269,urban 6005,Undirected,4999,,,1,(urban 3269),none,(urban 6005),9.9,0,default,urbanangrycollectives,0,true
urban 4784,urban 5794,Undirected,5000,,,1,(urban 4784),none,(urban 5794),9.9,0,default,urbanangrycollectives,0,true
urban 3268,urban 6110,Undirected,5001,,,1,(urban 3268),none,(urban 6110),9.9,0,default,urbanangrycollectives,0,true
urban 2749,urban 5345,Undirected,5002,,,1,(urban 2749),none,(urban 5345),9.9,0,default,urbanangrycollectives,0,true
urban 988,urban 3069,Undirected,5003,,,1,(urban 988),none,(urban 3069),9.9,0,default,urbanangrycollectives,0,true
urban 2133,urban 3758,Undirected,5004,,,1,(urban 2133),none,(urban 3758),9.9,0,default,urbanangrycollectives,0,true
urban 785,urban 4751,Undirected,5005,,,1,(urban 785),none,(urban 4751),9.9,0,default,urbanangrycollectives,0,true
urban 2856,urban 3866,Undirected,5006,,,1,(urban 2856),none,(urban 3866),9.9,0,default,urbanangrycollectives,0,true
urban 763,urban 2704,Undirected,5007,,,1,(urban 763),none,(urban 2704),9.9,0,default,urbanangrycollectives,0,true
urban 5295,urban 5617,Undirected,5008,,,1,(urban 5295),none,(urban 5617),9.9,0,default,urbanangrycollectives,0,true
urban 1126,urban 3396,Undirected,5009,,,1,(urban 1126),none,(urban 3396),9.9,0,default,urbanangrycollectives,0,true
urban 5102,urban 5193,Undirected,5010,,,1,(urban 5102),none,(urban 5193),9.9,0,default,urbanangrycollectives,0,true
urban 2811,urban 3310,Undirected,5011,,,1,(urban 2811),none,(urban 3310),9.9,0,default,urbanangrycollectives,0,true
urban 3648,urban 4308,Undirected,5012,,,1,(urban 3648),none,(urban 4308),9.9,0,default,urbanangrycollectives,0,true
urban 504,urban 1850,Undirected,5013,,,1,(urban 504),none,(urban 1850),9.9,0,default,urbanangrycollectives,0,true
urban 1516,urban 5962,Undirected,5014,,,1,(urban 1516),none,(urban 5962),9.9,0,default,urbanangrycollectives,0,true
urban 3888,urban 4038,Undirected,5015,,,1,(urban 3888),none,(urban 4038),9.9,0,default,urbanangrycollectives,0,true
urban 3419,urban 4839,Undirected,5016,,,1,(urban 3419),none,(urban 4839),9.9,0,default,urbanangrycollectives,0,true
urban 3249,urban 3388,Undirected,5017,,,1,(urban 3249),none,(urban 3388),9.9,0,default,urbanangrycollectives,0,true
urban 2801,urban 5714,Undirected,5018,,,1,(urban 2801),none,(urban 5714),9.9,0,default,urbanangrycollectives,0,true
urban 4205,urban 5421,Undirected,5019,,,1,(urban 4205),none,(urban 5421),9.9,0,default,urbanangrycollectives,0,true
urban 2125,urban 2426,Undirected,5020,,,1,(urban 2125),none,(urban 2426),9.9,0,default,urbanangrycollectives,0,true
urban 2211,urban 3908,Undirected,5021,,,1,(urban 2211),none,(urban 3908),9.9,0,default,urbanangrycollectives,0,true
urban 1700,urban 5273,Undirected,5022,,,1,(urban 1700),none,(urban 5273),9.9,0,default,urbanangrycollectives,0,true
urban 4782,urban 5227,Undirected,5023,,,1,(urban 4782),none,(urban 5227),9.9,0,default,urbanangrycollectives,0,true
urban 723,urban 4372,Undirected,5024,,,1,(urban 723),none,(urban 4372),9.9,0,default,urbanangrycollectives,0,true
urban 5675,urban 5848,Undirected,5025,,,1,(urban 5675),none,(urban 5848),9.9,0,default,urbanangrycollectives,0,true
urban 209,urban 4988,Undirected,5026,,,1,(urban 209),none,(urban 4988),9.9,0,default,urbanangrycollectives,0,true
urban 2707,urban 3769,Undirected,5027,,,1,(urban 2707),none,(urban 3769),9.9,0,default,urbanangrycollectives,0,true
urban 652,urban 3136,Undirected,5028,,,1,(urban 652),none,(urban 3136),9.9,0,default,urbanangrycollectives,0,true
urban 1084,urban 3133,Undirected,5029,,,1,(urban 1084),none,(urban 3133),9.9,0,default,urbanangrycollectives,0,true
urban 3889,urban 4571,Undirected,5030,,,1,(urban 3889),none,(urban 4571),9.9,0,default,urbanangrycollectives,0,true
urban 1914,urban 3222,Undirected,5031,,,1,(urban 1914),none,(urban 3222),9.9,0,default,urbanangrycollectives,0,true
urban 2238,urban 2600,Undirected,5032,,,1,(urban 2238),none,(urban 2600),9.9,0,default,urbanangrycollectives,0,true
urban 1714,urban 2159,Undirected,5033,,,1,(urban 1714),none,(urban 2159),9.9,0,default,urbanangrycollectives,0,true
urban 2320,urban 4551,Undirected,5034,,,1,(urban 2320),none,(urban 4551),9.9,0,default,urbanangrycollectives,0,true
urban 296,urban 2331,Undirected,5035,,,1,(urban 296),none,(urban 2331),9.9,0,default,urbanangrycollectives,0,true
urban 4815,urban 5227,Undirected,5036,,,1,(urban 4815),none,(urban 5227),9.9,0,default,urbanangrycollectives,0,true
urban 5609,urban 6082,Undirected,5037,,,1,(urban 5609),none,(urban 6082),9.9,0,default,urbanangrycollectives,0,true
urban 3026,urban 3530,Undirected,5038,,,1,(urban 3026),none,(urban 3530),9.9,0,default,urbanangrycollectives,0,true
urban 2448,urban 3924,Undirected,5039,,,1,(urban 2448),none,(urban 3924),9.9,0,default,urbanangrycollectives,0,true
urban 827,urban 2534,Undirected,5040,,,1,(urban 827),none,(urban 2534),9.9,0,default,urbanangrycollectives,0,true
urban 1362,urban 2444,Undirected,5041,,,1,(urban 1362),none,(urban 2444),9.9,0,default,urbanangrycollectives,0,true
urban 4704,urban 4706,Undirected,5042,,,1,(urban 4704),none,(urban 4706),9.9,0,default,urbanangrycollectives,0,true
urban 1483,urban 5643,Undirected,5043,,,1,(urban 1483),none,(urban 5643),9.9,0,default,urbanangrycollectives,0,true
urban 1059,urban 1510,Undirected,5044,,,1,(urban 1059),none,(urban 1510),9.9,0,default,urbanangrycollectives,0,true
urban 972,urban 3563,Undirected,5045,,,1,(urban 972),none,(urban 3563),9.9,0,default,urbanangrycollectives,0,true
urban 5637,urban 6005,Undirected,5046,,,1,(urban 5637),none,(urban 6005),9.9,0,default,urbanangrycollectives,0,true
urban 939,urban 3153,Undirected,5047,,,1,(urban 939),none,(urban 3153),9.9,0,default,urbanangrycollectives,0,true
urban 4572,urban 5705,Undirected,5048,,,1,(urban 4572),none,(urban 5705),9.9,0,default,urbanangrycollectives,0,true
urban 984,urban 4239,Undirected,5049,,,1,(urban 984),none,(urban 4239),9.9,0,default,urbanangrycollectives,0,true
urban 4534,urban 6065,Undirected,5050,,,1,(urban 4534),none,(urban 6065),9.9,0,default,urbanangrycollectives,0,true
urban 4536,urban 6157,Undirected,5051,,,1,(urban 4536),none,(urban 6157),9.9,0,default,urbanangrycollectives,0,true
urban 3801,urban 5941,Undirected,5052,,,1,(urban 3801),none,(urban 5941),9.9,0,default,urbanangrycollectives,0,true
urban 2063,urban 2159,Undirected,5053,,,1,(urban 2063),none,(urban 2159),9.9,0,default,urbanangrycollectives,0,true
urban 4886,urban 5965,Undirected,5054,,,1,(urban 4886),none,(urban 5965),9.9,0,default,urbanangrycollectives,0,true
urban 462,urban 4088,Undirected,5055,,,1,(urban 462),none,(urban 4088),9.9,0,default,urbanangrycollectives,0,true
urban 766,urban 5906,Undirected,5056,,,1,(urban 766),none,(urban 5906),9.9,0,default,urbanangrycollectives,0,true
urban 630,urban 2952,Undirected,5057,,,1,(urban 630),none,(urban 2952),9.9,0,default,urbanangrycollectives,0,true
urban 165,urban 1664,Undirected,5058,,,1,(urban 165),none,(urban 1664),9.9,0,default,urbanangrycollectives,0,true
urban 2547,urban 2955,Undirected,5059,,,1,(urban 2547),none,(urban 2955),9.9,0,default,urbanangrycollectives,0,true
urban 2903,urban 4125,Undirected,5060,,,1,(urban 2903),none,(urban 4125),9.9,0,default,urbanangrycollectives,0,true
urban 1792,urban 3324,Undirected,5061,,,1,(urban 1792),none,(urban 3324),9.9,0,default,urbanangrycollectives,0,true
urban 1735,urban 3045,Undirected,5062,,,1,(urban 1735),none,(urban 3045),9.9,0,default,urbanangrycollectives,0,true
urban 372,urban 953,Undirected,5063,,,1,(urban 372),none,(urban 953),9.9,0,default,urbanangrycollectives,0,true
urban 1769,urban 3931,Undirected,5064,,,1,(urban 1769),none,(urban 3931),9.9,0,default,urbanangrycollectives,0,true
urban 4630,urban 6228,Undirected,5065,,,1,(urban 4630),none,(urban 6228),9.9,0,default,urbanangrycollectives,0,true
urban 932,urban 2704,Undirected,5066,,,1,(urban 932),none,(urban 2704),9.9,0,default,urbanangrycollectives,0,true
urban 3792,urban 5217,Undirected,5067,,,1,(urban 3792),none,(urban 5217),9.9,0,default,urbanangrycollectives,0,true
urban 2244,urban 4372,Undirected,5068,,,1,(urban 2244),none,(urban 4372),9.9,0,default,urbanangrycollectives,0,true
urban 1548,urban 2597,Undirected,5069,,,1,(urban 1548),none,(urban 2597),9.9,0,default,urbanangrycollectives,0,true
urban 1362,urban 4815,Undirected,5070,,,1,(urban 1362),none,(urban 4815),9.9,0,default,urbanangrycollectives,0,true
urban 662,urban 3587,Undirected,5071,,,1,(urban 662),none,(urban 3587),9.9,0,default,urbanangrycollectives,0,true
urban 1300,urban 1848,Undirected,5072,,,1,(urban 1300),none,(urban 1848),9.9,0,default,urbanangrycollectives,0,true
urban 600,urban 3563,Undirected,5073,,,1,(urban 600),none,(urban 3563),9.9,0,default,urbanangrycollectives,0,true
urban 2505,urban 2525,Undirected,5074,,,1,(urban 2505),none,(urban 2525),9.9,0,default,urbanangrycollectives,0,true
urban 1294,urban 5769,Undirected,5075,,,1,(urban 1294),none,(urban 5769),9.9,0,default,urbanangrycollectives,0,true
urban 151,urban 5760,Undirected,5076,,,1,(urban 151),none,(urban 5760),9.9,0,default,urbanangrycollectives,0,true
urban 1651,urban 3313,Undirected,5077,,,1,(urban 1651),none,(urban 3313),9.9,0,default,urbanangrycollectives,0,true
urban 2129,urban 2251,Undirected,5078,,,1,(urban 2129),none,(urban 2251),9.9,0,default,urbanangrycollectives,0,true
urban 481,urban 2770,Undirected,5079,,,1,(urban 481),none,(urban 2770),9.9,0,default,urbanangrycollectives,0,true
urban 4113,urban 5308,Undirected,5080,,,1,(urban 4113),none,(urban 5308),9.9,0,default,urbanangrycollectives,0,true
urban 2301,urban 5833,Undirected,5081,,,1,(urban 2301),none,(urban 5833),9.9,0,default,urbanangrycollectives,0,true
urban 2735,urban 4832,Undirected,5082,,,1,(urban 2735),none,(urban 4832),9.9,0,default,urbanangrycollectives,0,true
urban 2527,urban 3685,Undirected,5083,,,1,(urban 2527),none,(urban 3685),9.9,0,default,urbanangrycollectives,0,true
urban 1479,urban 2916,Undirected,5084,,,1,(urban 1479),none,(urban 2916),9.9,0,default,urbanangrycollectives,0,true
urban 1547,urban 3816,Undirected,5085,,,1,(urban 1547),none,(urban 3816),9.9,0,default,urbanangrycollectives,0,true
urban 4963,urban 5623,Undirected,5086,,,1,(urban 4963),none,(urban 5623),9.9,0,default,urbanangrycollectives,0,true
urban 5644,urban 5972,Undirected,5087,,,1,(urban 5644),none,(urban 5972),9.9,0,default,urbanangrycollectives,0,true
urban 4574,urban 5146,Undirected,5088,,,1,(urban 4574),none,(urban 5146),9.9,0,default,urbanangrycollectives,0,true
urban 427,urban 1044,Undirected,5089,,,1,(urban 427),none,(urban 1044),9.9,0,default,urbanangrycollectives,0,true
urban 4174,urban 4573,Undirected,5090,,,1,(urban 4174),none,(urban 4573),9.9,0,default,urbanangrycollectives,0,true
urban 201,urban 2483,Undirected,5091,,,1,(urban 201),none,(urban 2483),9.9,0,default,urbanangrycollectives,0,true
urban 2446,urban 3221,Undirected,5092,,,1,(urban 2446),none,(urban 3221),9.9,0,default,urbanangrycollectives,0,true
urban 4447,urban 6210,Undirected,5093,,,1,(urban 4447),none,(urban 6210),9.9,0,default,urbanangrycollectives,0,true
urban 2467,urban 5734,Undirected,5094,,,1,(urban 2467),none,(urban 5734),9.9,0,default,urbanangrycollectives,0,true
urban 525,urban 2037,Undirected,5095,,,1,(urban 525),none,(urban 2037),9.9,0,default,urbanangrycollectives,0,true
urban 2404,urban 3797,Undirected,5096,,,1,(urban 2404),none,(urban 3797),9.9,0,default,urbanangrycollectives,0,true
urban 1462,urban 3508,Undirected,5097,,,1,(urban 1462),none,(urban 3508),9.9,0,default,urbanangrycollectives,0,true
urban 2835,urban 3558,Undirected,5098,,,1,(urban 2835),none,(urban 3558),9.9,0,default,urbanangrycollectives,0,true
urban 4437,urban 6283,Undirected,5099,,,1,(urban 4437),none,(urban 6283),9.9,0,default,urbanangrycollectives,0,true
urban 3761,urban 5069,Undirected,5100,,,1,(urban 3761),none,(urban 5069),9.9,0,default,urbanangrycollectives,0,true
urban 3026,urban 5710,Undirected,5101,,,1,(urban 3026),none,(urban 5710),9.9,0,default,urbanangrycollectives,0,true
urban 1325,urban 1626,Undirected,5102,,,1,(urban 1325),none,(urban 1626),9.9,0,default,urbanangrycollectives,0,true
urban 2173,urban 4607,Undirected,5103,,,1,(urban 2173),none,(urban 4607),9.9,0,default,urbanangrycollectives,0,true
urban 613,urban 1654,Undirected,5104,,,1,(urban 613),none,(urban 1654),9.9,0,default,urbanangrycollectives,0,true
urban 2109,urban 4604,Undirected,5105,,,1,(urban 2109),none,(urban 4604),9.9,0,default,urbanangrycollectives,0,true
urban 3060,urban 3284,Undirected,5106,,,1,(urban 3060),none,(urban 3284),9.9,0,default,urbanangrycollectives,0,true
urban 260,urban 1058,Undirected,5107,,,1,(urban 260),none,(urban 1058),9.9,0,default,urbanangrycollectives,0,true
urban 153,urban 919,Undirected,5108,,,1,(urban 153),none,(urban 919),9.9,0,default,urbanangrycollectives,0,true
urban 1048,urban 2387,Undirected,5109,,,1,(urban 1048),none,(urban 2387),9.9,0,default,urbanangrycollectives,0,true
urban 1899,urban 4824,Undirected,5110,,,1,(urban 1899),none,(urban 4824),9.9,0,default,urbanangrycollectives,0,true
urban 538,urban 5217,Undirected,5111,,,1,(urban 538),none,(urban 5217),9.9,0,default,urbanangrycollectives,0,true
urban 2451,urban 3341,Undirected,5112,,,1,(urban 2451),none,(urban 3341),9.9,0,default,urbanangrycollectives,0,true
urban 2353,urban 5942,Undirected,5113,,,1,(urban 2353),none,(urban 5942),9.9,0,default,urbanangrycollectives,0,true
urban 504,urban 2383,Undirected,5114,,,1,(urban 504),none,(urban 2383),9.9,0,default,urbanangrycollectives,0,true
urban 451,urban 2027,Undirected,5115,,,1,(urban 451),none,(urban 2027),9.9,0,default,urbanangrycollectives,0,true
urban 1400,urban 3207,Undirected,5116,,,1,(urban 1400),none,(urban 3207),9.9,0,default,urbanangrycollectives,0,true
urban 3324,urban 5864,Undirected,5117,,,1,(urban 3324),none,(urban 5864),9.9,0,default,urbanangrycollectives,0,true
urban 3392,urban 5812,Undirected,5118,,,1,(urban 3392),none,(urban 5812),9.9,0,default,urbanangrycollectives,0,true
urban 321,urban 1340,Undirected,5119,,,1,(urban 321),none,(urban 1340),9.9,0,default,urbanangrycollectives,0,true
urban 191,urban 2840,Undirected,5120,,,1,(urban 191),none,(urban 2840),9.9,0,default,urbanangrycollectives,0,true
urban 1646,urban 2136,Undirected,5121,,,1,(urban 1646),none,(urban 2136),9.9,0,default,urbanangrycollectives,0,true
urban 4889,urban 5498,Undirected,5122,,,1,(urban 4889),none,(urban 5498),9.9,0,default,urbanangrycollectives,0,true
urban 1929,urban 4280,Undirected,5123,,,1,(urban 1929),none,(urban 4280),9.9,0,default,urbanangrycollectives,0,true
urban 852,urban 1462,Undirected,5124,,,1,(urban 852),none,(urban 1462),9.9,0,default,urbanangrycollectives,0,true
urban 3685,urban 4646,Undirected,5125,,,1,(urban 3685),none,(urban 4646),9.9,0,default,urbanangrycollectives,0,true
urban 5219,urban 5359,Undirected,5126,,,1,(urban 5219),none,(urban 5359),9.9,0,default,urbanangrycollectives,0,true
urban 3618,urban 4098,Undirected,5127,,,1,(urban 3618),none,(urban 4098),9.9,0,default,urbanangrycollectives,0,true
urban 577,urban 4444,Undirected,5128,,,1,(urban 577),none,(urban 4444),9.9,0,default,urbanangrycollectives,0,true
urban 812,urban 1901,Undirected,5129,,,1,(urban 812),none,(urban 1901),9.9,0,default,urbanangrycollectives,0,true
urban 347,urban 3756,Undirected,5130,,,1,(urban 347),none,(urban 3756),9.9,0,default,urbanangrycollectives,0,true
urban 1505,urban 4205,Undirected,5131,,,1,(urban 1505),none,(urban 4205),9.9,0,default,urbanangrycollectives,0,true
urban 699,urban 5063,Undirected,5132,,,1,(urban 699),none,(urban 5063),9.9,0,default,urbanangrycollectives,0,true
urban 4661,urban 5627,Undirected,5133,,,1,(urban 4661),none,(urban 5627),9.9,0,default,urbanangrycollectives,0,true
urban 132,urban 5882,Undirected,5134,,,1,(urban 132),none,(urban 5882),9.9,0,default,urbanangrycollectives,0,true
urban 1621,urban 1834,Undirected,5135,,,1,(urban 1621),none,(urban 1834),9.9,0,default,urbanangrycollectives,0,true
urban 241,urban 4704,Undirected,5136,,,1,(urban 241),none,(urban 4704),9.9,0,default,urbanangrycollectives,0,true
urban 306,urban 3049,Undirected,5137,,,1,(urban 306),none,(urban 3049),9.9,0,default,urbanangrycollectives,0,true
urban 2516,urban 2999,Undirected,5138,,,1,(urban 2516),none,(urban 2999),9.9,0,default,urbanangrycollectives,0,true
urban 1054,urban 1700,Undirected,5139,,,1,(urban 1054),none,(urban 1700),9.9,0,default,urbanangrycollectives,0,true
urban 1192,urban 5559,Undirected,5140,,,1,(urban 1192),none,(urban 5559),9.9,0,default,urbanangrycollectives,0,true
urban 1323,urban 5307,Undirected,5141,,,1,(urban 1323),none,(urban 5307),9.9,0,default,urbanangrycollectives,0,true
urban 3754,urban 5294,Undirected,5142,,,1,(urban 3754),none,(urban 5294),9.9,0,default,urbanangrycollectives,0,true
urban 1062,urban 5799,Undirected,5143,,,1,(urban 1062),none,(urban 5799),9.9,0,default,urbanangrycollectives,0,true
urban 746,urban 813,Undirected,5144,,,1,(urban 746),none,(urban 813),9.9,0,default,urbanangrycollectives,0,true
urban 1863,urban 2101,Undirected,5145,,,1,(urban 1863),none,(urban 2101),9.9,0,default,urbanangrycollectives,0,true
urban 3269,urban 4335,Undirected,5146,,,1,(urban 3269),none,(urban 4335),9.9,0,default,urbanangrycollectives,0,true
urban 1374,urban 5227,Undirected,5147,,,1,(urban 1374),none,(urban 5227),9.9,0,default,urbanangrycollectives,0,true
urban 789,urban 5493,Undirected,5148,,,1,(urban 789),none,(urban 5493),9.9,0,default,urbanangrycollectives,0,true
urban 242,urban 5031,Undirected,5149,,,1,(urban 242),none,(urban 5031),9.9,0,default,urbanangrycollectives,0,true
urban 1126,urban 4071,Undirected,5150,,,1,(urban 1126),none,(urban 4071),9.9,0,default,urbanangrycollectives,0,true
urban 234,urban 3284,Undirected,5151,,,1,(urban 234),none,(urban 3284),9.9,0,default,urbanangrycollectives,0,true
urban 4551,urban 4839,Undirected,5152,,,1,(urban 4551),none,(urban 4839),9.9,0,default,urbanangrycollectives,0,true
urban 1308,urban 5482,Undirected,5153,,,1,(urban 1308),none,(urban 5482),9.9,0,default,urbanangrycollectives,0,true
urban 5758,urban 5903,Undirected,5154,,,1,(urban 5758),none,(urban 5903),9.9,0,default,urbanangrycollectives,0,true
urban 3526,urban 4162,Undirected,5155,,,1,(urban 3526),none,(urban 4162),9.9,0,default,urbanangrycollectives,0,true
urban 1682,urban 2605,Undirected,5156,,,1,(urban 1682),none,(urban 2605),9.9,0,default,urbanangrycollectives,0,true
urban 647,urban 1234,Undirected,5157,,,1,(urban 647),none,(urban 1234),9.9,0,default,urbanangrycollectives,0,true
urban 889,urban 4311,Undirected,5158,,,1,(urban 889),none,(urban 4311),9.9,0,default,urbanangrycollectives,0,true
urban 3138,urban 5746,Undirected,5159,,,1,(urban 3138),none,(urban 5746),9.9,0,default,urbanangrycollectives,0,true
urban 1407,urban 5700,Undirected,5160,,,1,(urban 1407),none,(urban 5700),9.9,0,default,urbanangrycollectives,0,true
urban 1824,urban 5428,Undirected,5161,,,1,(urban 1824),none,(urban 5428),9.9,0,default,urbanangrycollectives,0,true
urban 2226,urban 6006,Undirected,5162,,,1,(urban 2226),none,(urban 6006),9.9,0,default,urbanangrycollectives,0,true
urban 1285,urban 3060,Undirected,5163,,,1,(urban 1285),none,(urban 3060),9.9,0,default,urbanangrycollectives,0,true
urban 910,urban 2827,Undirected,5164,,,1,(urban 910),none,(urban 2827),9.9,0,default,urbanangrycollectives,0,true
urban 3252,urban 3754,Undirected,5165,,,1,(urban 3252),none,(urban 3754),9.9,0,default,urbanangrycollectives,0,true
urban 1850,urban 4403,Undirected,5166,,,1,(urban 1850),none,(urban 4403),9.9,0,default,urbanangrycollectives,0,true
urban 2371,urban 2818,Undirected,5167,,,1,(urban 2371),none,(urban 2818),9.9,0,default,urbanangrycollectives,0,true
urban 2197,urban 4986,Undirected,5168,,,1,(urban 2197),none,(urban 4986),9.9,0,default,urbanangrycollectives,0,true
